City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,el rusio,14.4667,-86.3667,25.79,53,87,1.23,HN,1679758582
225,pangnirtung,66.1451,-65.7125,-15.0,47,100,0.0,CA,1679758582
226,bulgan,48.8125,103.5347,-9.46,84,45,1.79,MN,1679758582
227,port-cartier,50.0334,-66.8654,1.12,83,11,0.62,CA,1679758583
228,tasiilaq,65.6145,-37.6368,-9.91,89,100,3.44,GL,1679758583
229,nemuro,43.3236,145.575,0.39,83,31,5.67,JP,1679758583
230,sao geraldo do araguaia,-6.4006,-48.555,28.18,78,84,1.11,BR,1679758583
231,najran,17.4924,44.1277,31.36,23,72,7.73,SA,1679758362
232,nelson bay,-32.7167,152.15,22.78,89,40,5.36,AU,1679758583
233,baykit,61.67,96.37,-2.15,96,100,2.73,RU,1679758583
234,buta,2.7858,24.73,27.03,65,55,0.79,CD,1679758584
235,laibin,23.7,109.2667,15.5,81,100,5.16,CN,1679758584
236,whitianga,-36.8333,175.7,14.82,90,12,2.24,NZ,1679758584
237,ponta do sol,32.6667,-17.1,24.84,65,97,2.45,PT,1679758584
238,saint-leu,-21.15,55.2833,26.46,97,52,5.33,RE,1679758584
239,okhotsk,59.3833,143.3,-20.46,82,4,4.95,RU,1679758584
240,makushino,55.2103,67.2442,1.82,85,96,6.64,RU,1679758584
241,ismailia,30.6043,32.2723,21.04,52,75,7.72,EG,1679758585
242,sandakan,5.8402,118.1179,26.82,89,20,1.03,MY,1679758585
243,pevek,69.7008,170.3133,-19.08,89,100,1.74,RU,1679758585
244,gusino,54.7244,31.368,7.7,78,100,2.44,RU,1679758585
245,port lincoln,-34.7333,135.8667,18.16,69,100,6.21,AU,1679758585
246,tahta,26.7693,31.5021,23.49,39,75,10.82,EG,1679758585
247,geraldton,-28.7667,114.6,20.23,83,21,1.03,AU,1679758585
248,beckley,37.7782,-81.1882,19.94,62,0,6.17,US,1679758586
249,bage,-31.3314,-54.1069,20.4,96,100,7.39,BR,1679758586
250,afsin,38.2477,36.914,8.03,80,100,3.17,TR,1679758586
251,agirish,61.9247,63.0231,-0.32,88,99,2.32,RU,1679758586
252,ola,59.5833,151.2833,-22.7,86,2,2.48,RU,1679758587
253,talnakh,69.4865,88.3972,-16.93,91,100,3.03,RU,1679758417
254,cherskiy,68.75,161.3,-22.52,86,100,1.59,RU,1679758587
255,san-pedro,4.7485,-6.6363,28.97,67,100,3.55,CI,1679758587
256,abu kamal,34.4506,40.9171,24.28,27,100,6.33,SY,1679758587
257,quatre cocos,-20.2078,57.7625,27.06,80,46,4.32,MU,1679758587
258,kon tum,14.35,108.0,22.86,81,97,0.89,VN,1679758588
259,adrar,20.5022,-10.0711,33.29,8,79,5.37,MR,1679758588
260,chamouny,-20.4822,57.4661,26.57,79,93,3.35,MU,1679758588
261,trapani,37.8333,12.6667,20.71,88,20,4.63,IT,1679758439
262,hami,42.8,93.45,10.49,16,0,1.32,CN,1679758588
263,zhuhai,22.2769,113.5678,22.14,88,40,4.63,CN,1679758588
264,eureka,40.8021,-124.1637,3.85,97,92,0.89,US,1679758588
265,zalantun,48.0,122.7167,-4.84,52,25,3.21,CN,1679758588
266,lebu,-37.6167,-73.65,15.4,69,0,8.93,CL,1679758588
267,paamiut,61.994,-49.6678,-5.69,67,16,3.08,GL,1679758589
268,athabasca,54.7169,-113.2854,-5.77,92,100,2.31,CA,1679758589
269,napier,-39.4833,176.9167,15.16,76,69,0.45,NZ,1679758589
270,harnosand,62.6323,17.9379,-2.0,76,100,2.4,SE,1679758346
271,kupang,-10.1667,123.5833,25.37,87,65,2.42,ID,1679758589
272,college,64.8569,-147.8028,-15.79,75,40,0.0,US,1679758589
273,lanzhou,36.0564,103.7922,9.39,38,72,2.44,CN,1679758590
274,dong hoi,17.4833,106.6,23.67,95,37,0.99,VN,1679758590
275,port hedland,-20.3167,118.5667,28.03,94,87,0.0,AU,1679758590
276,fonte boa,-2.4959,-66.2662,29.98,72,89,0.87,BR,1679758590
277,lucea,18.451,-78.1736,28.92,68,1,6.62,JM,1679758590
278,tiarei,-17.5333,-149.3333,24.01,74,96,3.79,PF,1679758591
279,curup,-3.4667,102.5333,20.86,98,100,0.32,ID,1679758591
280,vladesti,45.1167,24.3,14.82,63,100,2.9,RO,1679758591
281,souillac,-20.5167,57.5167,27.21,78,75,1.54,MU,1679758591
282,la ronge,55.1001,-105.2842,-11.86,52,75,0.0,CA,1679758591
283,san patricio,28.017,-97.5169,26.06,22,0,6.2,US,1679758591
284,revelstoke,50.9832,-118.2023,-0.99,93,75,1.03,CA,1679758591
285,angoche,-16.2325,39.9086,25.93,84,84,4.63,MZ,1679758591
286,antofagasta,-23.65,-70.4,22.6,62,2,3.49,CL,1679758592
287,lorengau,-2.0226,147.2712,27.16,71,100,2.03,PG,1679758592
288,barrow,71.2906,-156.7887,-16.99,78,100,9.77,US,1679758592
289,hofn,64.2539,-15.2082,-0.7,58,46,3.97,IS,1679758592
290,poum,-20.2333,164.0167,26.23,79,100,3.37,NC,1679758592
291,guerrero negro,27.9769,-114.0611,14.66,65,53,8.34,MX,1679758592
292,oranjestad,12.524,-70.027,28.97,71,40,9.26,AW,1679758592
293,rancharia,-22.2292,-50.8931,27.98,66,5,2.21,BR,1679758592
294,wahiawa,21.5028,-158.0236,21.59,82,100,2.39,US,1679758593
295,tautira,-17.7333,-149.15,26.81,77,93,3.3,PF,1679758593
296,kutum,14.2,24.6667,28.81,16,25,6.7,SD,1679758593
297,carnarvon,-24.8667,113.6333,23.78,79,4,8.4,AU,1679758593
298,lafayette,30.2335,-92.0668,25.59,81,75,2.57,US,1679758593
299,jieshi,22.8134,115.8257,20.3,84,100,4.15,CN,1679758593
300,castro,-24.7911,-50.0119,25.75,62,66,2.73,BR,1679758593
301,coihaique,-45.5752,-72.0662,11.97,50,0,1.54,CL,1679758593
302,zeya,53.75,127.2667,-13.17,97,52,1.38,RU,1679758594
303,puerto cabezas,14.0351,-83.3888,28.98,79,40,5.14,NI,1679758594
304,chapaevsk,52.9813,49.7112,10.43,67,80,3.76,RU,1679758594
305,kahului,20.8947,-156.47,24.36,88,0,4.47,US,1679758594
306,chuy,-33.6971,-53.4616,20.31,95,100,3.69,UY,1679758595
307,mokhsogollokh,61.4681,128.9203,-6.96,91,100,3.28,RU,1679758529
308,nouakchott,18.0858,-15.9785,34.96,47,36,4.93,MR,1679758595
309,sobolevo,54.4299,31.8996,7.86,75,100,1.73,RU,1679758595
310,pitimbu,-7.4706,-34.8086,30.33,69,36,4.14,BR,1679758595
311,severo-kurilsk,50.6789,156.125,-4.02,71,93,13.94,RU,1679758595
312,mancio lima,-7.6142,-72.8958,24.04,94,75,1.03,BR,1679758595
313,hobyo,5.3505,48.5268,28.81,61,79,6.32,SO,1679758595
314,mahendragarh,28.2833,76.15,23.26,32,25,3.06,IN,1679758596
315,nantucket,41.2835,-70.0995,6.16,76,100,7.72,US,1679758596
316,bonavista,48.6499,-53.1147,0.52,86,100,13.56,CA,1679758596
317,zabid,14.1951,43.3152,29.95,62,76,3.48,YE,1679758596
318,hit,33.6416,42.8251,24.64,29,100,3.77,IQ,1679758381
319,inhambane,-23.865,35.3833,27.99,74,20,4.16,MZ,1679758596
